Metric,Value
Total crimes,29433
Missing: ...1,0
Missing: Crime ID,5831
Missing: Month,0
Missing: Reported by,0
Missing: Falls within,0
Missing: Longitude,643
Missing: Latitude,643
Missing: Location,0
Missing: LSOA code,643
Missing: LSOA name,643
Missing: Crime type,0
Missing: Last outcome category,5831
Missing: Context,29433
Top crime type: Violence and sexual offences,10514
Top crime type: Anti-social behaviour,5828
Top crime type: Public order,3303
Top crime type: Criminal damage and arson,2504
Top crime type: Other theft,1628
Top location: No Location,643
Top location: On or near Supermarket,619
Top location: On or near Parking Area,510
Top location: On or near Sports/Recreation Area,413
Top location: On or near Shopping Area,409
Top outcome: Unable to prosecute suspect,11582
Top outcome: Investigation complete; no suspect identified,8520
Top outcome: NA,5831
Top outcome: Court result unavailable,1823
Top outcome: Status update unavailable,594
Note,"This summary provides key crime statistics for West Yorkshire in August 2020, including total crimes, missing values, top 5 crime types, locations, and outcomes. It offers a snapshot of crime patterns and data quality for the month."
