Metric,Value
Total crimes,27015
Missing: ...1,0
Missing: Crime ID,4656
Missing: Month,1000
Missing: Reported by,1000
Missing: Falls within,1000
Missing: Longitude,1570
Missing: Latitude,1570
Missing: Location,1000
Missing: LSOA code,1570
Missing: LSOA name,1570
Missing: Crime type,1000
Missing: Last outcome category,5494
Missing: Context,27015
Top crime type: Violence and sexual offences,9397
Top crime type: Anti-social behaviour,4491
Top crime type: Public order,2919
Top crime type: Criminal damage and arson,2379
Top crime type: Other theft,1453
Top location: NA,1000
Top location: On or near Supermarket,639
Top location: No Location,570
Top location: On or near Parking Area,471
Top location: On or near Sports/Recreation Area,426
Top outcome: Unable to prosecute suspect,10049
Top outcome: Investigation complete; no suspect identified,8122
Top outcome: NA,5494
Top outcome: Court result unavailable,1656
Top outcome: Status update unavailable,619
Note,"This summary provides key crime statistics for West Yorkshire in September 2020, including total crimes, missing values, top 5 crime types, locations, and outcomes. It offers a snapshot of crime patterns and data quality for the month."
