Month,Location,n
April,No Location,396
April,On or near Hospital,62
April,On or near Park/Open Space,98
April,On or near Parking Area,271
April,On or near Pedestrian Subway,110
April,On or near Petrol Station,279
April,On or near Shopping Area,126
April,On or near Sports/Recreation Area,289
April,On or near Supermarket,403
May,No Location,534
May,On or near Hospital,48
May,On or near Park/Open Space,107
May,On or near Parking Area,330
May,On or near Pedestrian Subway,116
May,On or near Petrol Station,301
May,On or near Shopping Area,140
May,On or near Sports/Recreation Area,360
May,On or near Supermarket,410
May,NA,1000
June,No Location,626
June,On or near Hospital,83
June,On or near Park/Open Space,122
June,On or near Parking Area,435
June,On or near Pedestrian Subway,147
June,On or near Petrol Station,326
June,On or near Shopping Area,227
June,On or near Sports/Recreation Area,438
June,On or near Supermarket,459
July,No Location,719
July,On or near Hospital,77
July,On or near Park/Open Space,147
July,On or near Parking Area,508
July,On or near Pedestrian Subway,193
July,On or near Petrol Station,334
July,On or near Shopping Area,308
July,On or near Sports/Recreation Area,440
July,On or near Supermarket,595
August,No Location,643
August,On or near Hospital,93
August,On or near Park/Open Space,129
August,On or near Parking Area,510
August,On or near Pedestrian Subway,180
August,On or near Petrol Station,408
August,On or near Shopping Area,409
August,On or near Sports/Recreation Area,413
August,On or near Supermarket,619
September,No Location,570
September,On or near Hospital,81
September,On or near Park/Open Space,118
September,On or near Parking Area,471
September,On or near Pedestrian Subway,183
September,On or near Petrol Station,336
September,On or near Shopping Area,336
September,On or near Sports/Recreation Area,426
September,On or near Supermarket,639
September,NA,1000
