Month,Location,n
April,On or near Supermarket,403
April,No Location,396
April,On or near Sports/Recreation Area,289
April,On or near Petrol Station,279
April,On or near Parking Area,271
May,NA,1000
May,No Location,534
May,On or near Supermarket,410
May,On or near Sports/Recreation Area,360
May,On or near Parking Area,330
June,No Location,626
June,On or near Supermarket,459
June,On or near Sports/Recreation Area,438
June,On or near Parking Area,435
June,On or near Petrol Station,326
July,No Location,719
July,On or near Supermarket,595
July,On or near Parking Area,508
July,On or near Sports/Recreation Area,440
July,On or near Petrol Station,334
August,No Location,643
August,On or near Supermarket,619
August,On or near Parking Area,510
August,On or near Sports/Recreation Area,413
August,On or near Shopping Area,409
September,NA,1000
September,On or near Supermarket,639
September,No Location,570
September,On or near Parking Area,471
September,On or near Sports/Recreation Area,426
